Experiment	Temperature	N-source	Replica	Dry weight	Optical_density	Product_yield
batch_30_a_A2	30	ammonium chloride	1	5.18	1.6	34.9
batch_30_a_A3	30	ammonium chloride	2	3.76	1.78	33.1
batch_30_a_A4	30	ammonium chloride	3	4.4	1.7	29
batch_30_a_A5	30	ammonium chloride	4	3.48	1.75	55.8
batch_30_a_A6	30	ammonium chloride	5	6.06	1.85	68.9
batch_30_a_B2	30	ammonium chloride	6	3.92	1.88	46.3
batch_30_a_B3	30	ammonium chloride	7	4.28	1.79	63.1
batch_30_a_B4	30	ammonium chloride	8	5.47	1.82	69.9
batch_30_a_B5	30	ammonium chloride	9	5.73	1.87	34.1
batch_30_a_B6	30	ammonium chloride	10	4.09	1.75	33.5
batch_30_a_C2	30	ammonium chloride	11	7.78	1.7	43.6
batch_30_a_C3	30	ammonium chloride	12	3.76	1.77	49.8
batch_30_a_C4	30	ammonium chloride	13	5.41	1.74	29.3
batch_30_a_C5	30	ammonium chloride	14	7.48	1.79	51.2
batch_30_a_C6	30	ammonium chloride	15	6.57	1.51	14.6
batch_30_a_D2	30	ammonium chloride	16	9.18	1.77	67.4
batch_30_a_D3	30	ammonium chloride	17	5.92	1.74	37.8
batch_30_a_D4	30	ammonium chloride	18	3.44	1.59	34.3
batch_30_a_D5	30	ammonium chloride	19	4.99	1.7	32.5
batch_30_a_D6	30	ammonium chloride	20	8.17	1.86	44.5
batch_35_a_A2	35	ammonium chloride	1	7.38	1.71	33.2
batch_35_a_A3	35	ammonium chloride	2	6.08	1.86	43.7
batch_35_a_A4	35	ammonium chloride	3	6.92	1.83	47.5
batch_35_a_A5	35	ammonium chloride	4	8.14	1.81	37.9
batch_35_a_A6	35	ammonium chloride	5	5.48	1.75	47.2
batch_35_a_B2	35	ammonium chloride	6	5.85	1.75	37.4
batch_35_a_B3	35	ammonium chloride	7	3.64	1.69	60.1
batch_35_a_B4	35	ammonium chloride	8	6.13	1.81	57.6
batch_35_a_B5	35	ammonium chloride	9	5.94	1.7	54
batch_35_a_B6	35	ammonium chloride	10	6.39	1.64	41.3
batch_35_a_C2	35	ammonium chloride	11	6.76	1.86	36.8
batch_35_a_C3	35	ammonium chloride	12	7.11	1.54	31.7
batch_35_a_C4	35	ammonium chloride	13	6.74	1.86	27.2
batch_35_a_C5	35	ammonium chloride	14	2.65	1.91	30.6
batch_35_a_C6	35	ammonium chloride	15	1.67	0.21	8.4
batch_35_a_D2	35	ammonium chloride	16	5.8	1.88	45.3
batch_35_a_D3	35	ammonium chloride	17	4.79	1.84	53.1
batch_35_a_D4	35	ammonium chloride	18	5.82	1.71	42.9
batch_35_a_D5	35	ammonium chloride	19	8.36	1.99	42
batch_35_a_D6	35	ammonium chloride	20	7.45	1.83	30.7
batch_37_a_A2	37	ammonium chloride	1	5.56	1.75	41.6
batch_37_a_A3	37	ammonium chloride	2	8.75	1.79	34.8
batch_37_a_A4	37	ammonium chloride	3	4.31	1.74	70.5
batch_37_a_A5	37	ammonium chloride	4	4.43	1.65	49
batch_37_a_A6	37	ammonium chloride	5	4.32	1.77	38.7
batch_37_a_B2	37	ammonium chloride	6	3.4	1.77	51.5
batch_37_a_B3	37	ammonium chloride	7	7.53	1.74	31.5
batch_37_a_B4	37	ammonium chloride	8	7.35	1.65	23.9
batch_37_a_B5	37	ammonium chloride	9	6.77	1.79	30.6
batch_37_a_B6	37	ammonium chloride	10	10.3	1.7	43.7
batch_37_a_C2	37	ammonium chloride	11	5.04	1.81	44.6
batch_37_a_C3	37	ammonium chloride	12	4.02	1.64	55.1
batch_37_a_C4	37	ammonium chloride	13	4.99	1.83	33.8
batch_37_a_C5	37	ammonium chloride	14	4.18	1.9	29.5
batch_37_a_C6	37	ammonium chloride	15	5.5	1.85	30.6
batch_37_a_D2	37	ammonium chloride	16	6.61	1.76	36.6
batch_37_a_D3	37	ammonium chloride	17	5.82	1.91	47.4
batch_37_a_D4	37	ammonium chloride	18	6.61	1.87	53.5
batch_37_a_D5	37	ammonium chloride	19	4.01	1.8	43.6
